abalone,[ˌæbəˈloʊni],n.[动]鲍鱼(软体动物)
archaic,[ɑːrˈkeɪɪk],"a.古代的, 陈旧的"
archipelago,[ˌɑːrkɪˈpeləɡoʊ],"n.群岛, 多岛海"
architect,[ˈɑːrkɪtekt],n.建筑师
architecture,[ˈɑːrkɪtektʃər],"n.建筑,建筑学,建筑风格"
arctic,[ˈɑːrktɪk],a.北极的.n.北极(圈)
arduous,[ˈɑːrdʒuəs],"a.费力的, 辛勤的,努力的,险峻的"
area,[ˈeriə],"n.区域,地区,范围,面积"
arena,[əˈriːnə],"n.竞技场, 舞台"
argon,[ˈɑːrɡɑːn],n.[化]氩
argue,[ˈɑːrɡjuː],"v.说服,争论,辩论"
argument,[ˈɑːrɡjumənt],"n.争论,论据,论证"
arid,[ˈærɪd],"a.干旱的,贫瘠的"
aridity,[əˈrɪdəti],"n.干旱, 乏味"
arise,[əˈraɪz],"vi.出现,发生,起因于,上升"
arise,[əˈraɪz],"vi.产生,出现,上升"
aristocracy,[ˌærɪˈstɑːkrəsi],"n.贵族（政治）,一批优秀人物"
aristocrat,[əˈrɪstəkræt],n.贵族
aristocratic,[əˌrɪstəˈkrætɪk],"a.贵族政治的,贵族的"
arm,[ɑːrm],"n.臂.vt.供给,武装"
armor,['ɑrmɚ],n.装甲.vt.为…装甲
armory,[ˈɑːrməri],"n.兵工厂,军械库"
army,[ˈɑːrmi],n.军队
aromatic,[ˌærəˈmætɪk],a.芬芳的
around,[əˈraʊnd],"ad.在周围,到处,大约.prep.遍及"
arousal,[əˈraʊzl],"n.觉醒, 激励"
arouse,[əˈraʊz],"vt.唤醒,鼓励,激起.vi.睡醒"
arrange,[əˈreɪndʒ],"v.安排,排列"
array,[əˈreɪ],"n./v.展示,排列 "
arrest,[əˈrest],"vt.逮捕, 拘留 ,吸引"
arrival,[əˈraɪvl],"n.到来, 到达"
arrive,[əˈraɪv],"vi.到达,抵达"
arrow,[ˈæroʊ],"n.箭, 箭头记号"
arsenal,[ˈɑːrsənl],"n.兵工厂, 军械库"
arsenic,[ˈɑːrsnɪk],"n.[化]砷, 砒霜"
art,[ɑːrt],"n.艺术,艺术品"
arthritis,[ɑːrˈθraɪtɪs],n.关节炎
arthropod,[ˈɑːrθrəpɑːd],n./a.节肢动物(的)
article,[ˈɑːrtɪkl],"n.文章,论文,物件,条款"
articulate,[ɑːrˈtɪkjuleɪt],"a.有关节的, 发音清晰的.v.用关节连接, 接合"
artifact,[ˈɑːrtɪfækt],n.人造物品
artificial,[ˌɑːrtɪˈfɪʃl],"a.人造的,虚伪的"
artificially,[ˌɑːrtɪˈfɪʃəli],"ad.人工地,不自然地"
artisan,[ˈɑːrtəzn],"n.工匠,技工"
artist,[ˈɑːrtɪst],"n.艺术家,美术家"
artiste,[ɑr'tist],n.技艺家
artistic,[ɑːrˈtɪstɪk],a.艺术的
artistically,[ɑːrˈtɪstɪkli],"ad.艺术地, 在艺术上"
artistry,[ˈɑːrtɪstri],n.艺术之性质
artwork,[ˈɑːrtwɜːrk],"n.艺术品,美术品"
as,"[əz,æz]","ad.同样地 prep.当作.conj.随着,因为"
ascend,[əˈsend],"v.攀登, 上升.vi.追溯到（某个时间）"
ascent,[əˈsent],"n.上升,提高"
ascribe,[əˈskraɪb],"vt.归因于, 归咎于"
ash,[æʃ],"n.灰(烬),[植]岑树"
ashcan,,"n.垃圾桶, 深水炸弹"
ashore,[əˈʃɔːr],"ad.向岸地, 在岸上地"
Asia,[ˈeɪʒə],n.亚洲
Asian,[ˈeɪʒn],"n./a.亚洲(的), 亚洲人(的) "
aside,[əˈsaɪd],"ad.在旁边,到旁边"
ask,[æsk],"v.询问,请求,邀请,需要"
asleep,[əˈsliːp],a.睡着的
aspect,[ˈæspekt],"n.方面,外观,形势"
asphalt,[ˈæsfɔːlt],n.沥青
aspiration,[ˌæspəˈreɪʃn],"n.热望, 渴望,抱负"
aspire,[əˈspaɪər],"vi.热望, 立志"
assault,[əˈsɔːlt],"n./v.攻击, 袭击 ,抨击"
assemblage,[əˈsemblɪdʒ],"n.集合, 集会"
assemble,[əˈsembl],"vt.集合,装配.vi.聚集"
assembly,[əˈsembli],"n.集会,集合,组装"
assert,[əˈsɜːrt],"v.断言, 声称,维护"
assess,[əˈses],"vt.估定,评定"
assessment,[əˈsesmənt],"n.估计,评估"
asset,[ˈæset],"n.资产,有利条件,才能,有价值的物品"
assign,[əˈsaɪn],"vt.分配,指派 "
assist,[əˈsɪst],"v.援助,帮助"
assistance,[əˈsɪstəns],"n.协助, 援助, 补助,"
assistant,[əˈsɪstənt],"n.助手, 助教 "
associate,"[əˈsoʊsieɪt,əˈsoʊʃieɪt]","v.联合,结交.n.伙伴.a.副的"
association,"[əˌsoʊsiˈeɪʃn,əˌsoʊʃiˈeɪʃn]","n.协会,联合,结交"
assort,[ə'sɔrt],"v.分类配全,协调"
assortment,[əˈsɔːrtmənt],"n.分类,混合物"
assume,[əˈsuːm],"vt.假定,设想,承担,采取"
assumption,[əˈsʌmpʃn],"n.假定, 设想"
assure,[əˈʃʊr],"vt.使确信, 确保,弄清楚"
asteroid,[ˈæstərɔɪd],n.小行星
asthenosphere,"[æs'θinə,sfɪr]",n.岩流圈
astonish,[əˈstɑːnɪʃ],vt.使惊讶
astound,[əˈstaʊnd],"vt.使惊骇, 使大吃一惊"
astrological,[ˌæstrəˈlɑːdʒɪkl],"a.占星的, 占星术的"
astronaut,[ˈæstrənɔːt],n.宇航员
astronomer,[əˈstrɑːnəmər],n.天文学家
astronomical,[ˌæstrəˈnɑːmɪkl],"a.天文学的, 巨大的"
astronomy,[əˈstrɑːnəmi],n.天文学
astute,[əˈstuːt],"a.机敏的, 狡猾的"
asymmetrical,"[,esɪ'mɛtrɪkl]","a.不对称的,不均匀的"
at,"[ət,æt]","prep.在,向,以,处于"
atheist,[ˈeɪθiɪst],n.无神论者
Athenian,,n./a.雅典(人)(的)
Athens,['æθɪnz],n.雅典(希腊首都)
athlete,[ˈæθliːt],n.运动员
Atlantic,[ət'læntɪk],n.大西洋.a.大西洋的
atlas,[ˈætləs],"n.地图, 地图集"
atmosphere,[ˈætməsfɪr],"n.大气,空气,气氛"
atmospheric,"[ˌætməsˈfɪrɪk,ˌætməsˈferɪk]","a.大气的,大气层的"
atom,[ˈætəm],n.原子
atomic,[əˈtɑːmɪk],"a.原子的,原子能的,微粒子的"
atomization,"[,ætomɪ'zeʃən]","n.分离成原子, 雾化"
attach,[əˈtætʃ],"v.缚上, 配属,隶属于"
attachment,[əˈtætʃmənt],"n.附件,附加装置"
attack,[əˈtæk],"v./n.攻击,进攻"
attacker,[əˈtækər],n.攻击者
attain,[əˈteɪn],"vt.达到, 获得 ,实现"
attainment,[əˈteɪnmənt],n.达到
attempt,[əˈtempt],"n./vt.尝试,企图,努力"
attend,[əˈtend],"vt.出席, 参加,照料"
attendance,[əˈtendəns],"n.出席, 出席的人数"
attendant,[əˈtendənt],"n.服务员,出席者.a.伴随的"
attention,[əˈtenʃn],"n.注意,关心"
attentive,[əˈtentɪv],"a.注意的, 留意的"
attest,[əˈtest],"v.证明,证实,为…作证"
attic,[ˈætɪk],n.阁楼
attire,[əˈtaɪər],n.服装.v.打扮
attitude,[ˈætɪtuːd],"n.态度,看法,意见"
attract,[əˈtrækt],"v.吸引,引起"
attraction,[əˈtrækʃn],"n.吸引(力),具有吸引力的事物(或人)"
attractively,[əˈtræktɪvli],"ad.有吸引力地,诱人地"
attractiveness,[əˈtræktɪvnəs],"n.魅力,  吸引力"
attributable,[əˈtrɪbjətəbl],a.可归因于 ... 的
attribute,[əˈtrɪbjuːt],"vt.(to)把…归因于.n.属性,品质,特征"
auction,[ˈɔːkʃn],"n.／.vt.拍卖,竞卖"
audience,[ˈɔːdiəns],"n.听众,观众"
audio,[ˈɔːdioʊ],"a.音频的,声音的"
auditorium,[ˌɔːdɪˈtɔːriəm],"n.听众席,观众席,礼堂"
auditory,[ˈɔːdətɔːri],"a.耳的, 听觉的"
auger,[ˈɔːɡər],n.螺丝钻.vt.用钻子钻洞于
August,,n.八月(略作Aug) 
aural,[ˈɔːrəl],a.听觉的
aurora,[ɔ'rɔrə],"n.黎明的女神,极光"
austere,[ɔːˈstɪr],"a.简朴的, 严厉的"
Australia,[ɔ'streljə],n.澳大利亚
Australian,,n.澳大利亚(的)
Austrian,[ˈɔːstriən],"n.奥地利人 .a.奥地利的, 奥地利人的"
authentic,[ɔːˈθentɪk],"a.可信的,真正的"
authenticity,[ˌɔːθenˈtɪsəti],"n.确实性, 真实性"
author,[ˈɔːθər],"n.作家,作者,创始人"
authority,[əˈθɔːrəti],"n.权威,权力,专家"
authorization,[ˌɔːθərəˈzeɪʃn],"n.授权,认可,批准,委任"
authorize,[ˈɔːθəraɪz],"v.批准,全权委托,认可,授权给"
auto,[ˈɔːtoʊ],"n.自动,<美口>汽车"
autobiographical,[ˌɔːtəˌbaɪəˈɡræfɪkl],a.自传的
autobiography,[ˌɔːtəbaɪˈɑːɡrəfi],n.自传
automate,[ˈɔːtəmeɪt],"v.使自动化, 自动操作"
automatic,[ˌɔːtəˈmætɪk],"n.自动机械.a.自动的,机械的"
automatically,[ˌɔːtəˈmætɪkli],"ad.自动地,机械地,无意识地"
automobile,[ˈɔːtəməbiːl],n.汽车
autonomic,"[,ɔtə'nɑmɪk]","a.自治的, 自律的"
autonomous,[ɔːˈtɑːnəməs],"a.自治的,自主的"
autonomy,[ɔːˈtɑːnəmi],"n.自治,自主"
autumn,[ˈɔːtəm],n.秋天
auxiliary,[ɔːɡˈzɪliəri],"a.辅助的, 补助的"
avail,[əˈveɪl],"v.有益于,有帮助.n.效用, 利益"
availability,[əˌveɪləˈbɪləti],"n.可用性,有效性,实用性,可得到的人(或物)"
available,[əˈveɪləbl],"a.可利用的,可得到的,有空的"
avalanche,[ˈævəlæntʃ],n.雪崩
avalanche,[ˈævəlæntʃ],n./v.雪崩 
avant,[ævɑ̃ː],"a.先锋的,激进的"
avenue,[ˈævənuː],"n.林荫道,方法"
average,[ˈævərɪdʒ],n./a.平均(的).v.平均
aviation,[ˌeɪviˈeɪʃn],"n.航空,飞机制造业"
aviator,[ˈeɪvieɪtər],n.飞行员
avid,[ˈævɪd],"a.渴望的,贪婪的"
avocational,,"n.娱乐,  消遣,副业"
avoid,[əˈvɔɪd],"vt.避免,预防"
avoidable,[əˈvɔɪdəbl],a.可避免的
avoidance,[əˈvɔɪdəns],n.避免
await,[əˈweɪt],vt.等候
awake,[əˈweɪk],"v.醒,唤醒.a.警觉的, 醒的"
awaken,[əˈweɪkən],"v.唤醒, 醒来,使意识到"
award,[əˈwɔːrd],"n.奖,奖品.vt.授予,判给"
aware,[əˈwer],"a.意识到,知道的"
awareness,[əˈwernəs],"n.知道, 晓得"
away,[əˈweɪ],"ad.在远处,离去"
awesome,[ˈɔːsəm],"a.可怕的, 表示敬畏的,精彩的 "
awful,[ˈɔːfl],"a.可怕的, 威严的,"
awhile,[əˈwaɪl],"ad.片刻, 一会儿"
awkward,[ˈɔːkwərd],"a.难使用的, 笨拙的,别扭的"
awkwardly,[ˈɔːkwərdli],"ad.笨拙地, 无技巧地,拘谨地"
ax,[æks],"n.斧头 
vt.削减"
axe,[æks],"n.斧, (经费的)大削减"
babble,[ˈbæbl],"v.说蠢话,含糊不清地说,牙牙学语"
baboon,[bæˈbuːn],n.[动]狒狒
baby,[ˈbeɪbi],"n.婴孩vt.纵容,娇纵"
Babylonian,,"n.巴比伦人(的), 巴比伦语（的） "
bachelor,[ˈbætʃələr],"n.单身汉, 文理学士"
back,[bæk],"ad.回原处.n.背,后面.a.后面的.v.后退"
backbone,[ˈbækboʊn],"n.脊梁骨,支柱"
backbreaking,,"a.非常辛苦的,极累人的"
backdrop,[ˈbækdrɑːp],"n.背景幕, 背景"
background,[ˈbækɡraʊnd],"n.背景,后台"
backup,[ˈbækʌp],"n.后援, 支持"
backward,[ˈbækwərd],"a./ad.向后的, 落后的 "
bacteria,[bækˈtɪriə],n.细菌
bacterial,[bækˈtɪriəl],a.细菌的
bacterium,[bæk'tɪrɪəm],n.细菌
bad,[bæd],"a.劣质的,有害的,坏的"
badge,[bædʒ],"n.徽章, 证章"
badly,[ˈbædli],"ad.严重地, 恶劣地"
baedeker,,"n.旅行指南, 入门手册"
bag,[bæɡ],n.袋子
bake,[beɪk],"v.烘焙,烤"
balance,[ˈbæləns],n.平衡.vt.使平衡
balcony,[ˈbælkəni],"n.阳台, 包厢"
balkan,[ˈbɔːlkən],n./a.巴尔干半岛(的)
ball,[bɔːl],"n.球, 球状物,舞会 "
ballad,[ˈbæləd],"n.民歌, 流行歌曲"
ballet,[bæˈleɪ],n.芭蕾(舞)
balloon,[bəˈluːn],"n.气球.v.膨胀,激增"
ballroom,"[ˈbɔːlruːm,ˈbɔːlrʊm]","n.舞厅, 跳舞场"
balmy,[ˈbɑːmi],"a.芳香的, 温和的"
balsam,[ˈbɔːlsəm],n.香液
Baltic,[ˈbɔːltɪk],"a波罗的海的, 波罗的语的"
banana,[bəˈnænə],n.香蕉
band,[bænd],"n.乐队.v.联合,结合"
bandanna,[bæn'dænə],n.大手帕（等于bandana）
bandleader,[ˈbændliːdər],n.伴舞乐队的指挥
bank,[bæŋk],"n.银行,岸,储库.v.把(钱)存入银行"
banker,[ˈbæŋkər],n.银行家
bankruptcy,[ˈbæŋkrʌptsi],n.破产
Bantu,,"n.班图人, 班图语"
barb,[bɑːrb],n.鱼钩.vt.装倒钩于
bard,[bɑːrd],n.吟游诗人
bare,[ber],"a.赤裸的,无遮蔽的.vt.露出"
barely,[ˈberli],"ad.仅仅, 几乎不能"
barge,[bɑːrdʒ],n.驳船.vi.猛撞.vi.蹒跚
bark,[bɑːrk],n.吠声 .v.厉声说出
barn,[bɑːrn],"n.[农]谷仓, 畜棚, 畜舍, 机器房"
barrel,[ˈbærəl],n.桶 
barrelful,['bærəlfʊl],"n.一桶之量, 大量"
barren,[ˈbærən],"a.不生育的,贫瘠的.n.荒地"
barrier,[ˈbæriər],"n.障碍物,栅栏"
barter,[ˈbɑːrtər],v.交易
basalt,[bəˈsɔːlt],n.玄武岩
basaltic,[bə'sɔltɪk],a.玄武岩的
base,[beɪs],"n.底部,基础.vt.以...作基础,基于…"
baseball,[ˈbeɪsbɔːl],n.棒球(运动)
basement,[ˈbeɪsmənt],"n.地下室, 墙脚"
basic,[ˈbeɪsɪk],"a.基本的,基础的"
basically,[ˈbeɪsɪkli],"ad.基本上, 主要地"
basin,[ˈbeɪsn],"n.脸盆,盆地"
bask,[bæsk],"vi.晒太阳,感到适意.vt.使舒适暖和
"
basket,[ˈbæskɪt],"n.篮,一篮"
basketmaking,,n.篮子编织
basketry,,n.篓编织品
basketwork,[ˈbæskɪtwɜːrk],n.编织物
bat,[bæt],"n.蝙蝠, 球棒.v.用球棒击球"
bath,[bæθ],"n.沐浴, 浴室"
bathe,[beɪð],v.沐浴.n.洗澡
bathhouse,[ˈbæθhaʊs],"n.公共浴室, 澡堂,"
battery,[ˈbætəri],n.电池
battle,[ˈbætl],"n.战役.vi.作战, 战斗"
battlefield,[ˈbætlfiːld],"n.战场, 沙场"
battleship,[ˈbætlʃɪp],n.战舰
bay,[beɪ],n.海湾
be,"[bi,biː]","aux.v.(am,is,are之原型).vi.是,在"
beach,[biːtʃ],n.海滩
beacon,[ˈbiːkən],"n.信号灯,闪光灯"
bead,[biːd],"n.珠子,水珠"
beak,[biːk],"n.鸟嘴, 喙"
beam,[biːm],"n.梁, 桁条.vi.面露喜色.vt.播送"
bean,[biːn],"n.豆, 豆形果实"
bear,[ber],"vt.忍受,承担"
beard,[bɪrd],n.胡须
bearing,[ˈberɪŋ],"n.举止,风度"
beast,[biːst],"n.野兽,牲畜"
beat,[biːt],"v.打,战胜"
beater,[ˈbiːtər],"n.搅拌器,敲打者"
beau,[boʊ],n.花花公子
beautiful,[ˈbjuːtɪfl],a.美丽的
beauty,[ˈbjuːti],"n.美,美景"
beaver,[ˈbiːvər],n.海狸(毛皮)
because,"[bɪˈkəz,bɪˈkɔːz]","conj.因为,由于"
become,[bɪˈkʌm],"v.变成,变得"
bed,[bed],"n.床,基础.vt.安置"
bedcover,[ˈbedkʌvər],n.被面
bedpan,[ˈbedpæn],"n.便盆, 睡床用脚炉"
bedroom,"[ˈbedruːm,ˈbedrʊm]",n.卧室
bee,[biː],n.蜜蜂
beef,[biːf],n.牛肉
beer,[bɪr],n.啤酒
beetle,[ˈbiːtl],n.甲虫
befit,[bɪˈfɪt],vt.适合
before,[bɪˈfɔːr],prep./conj.在…以前
befriend,[bɪˈfrend],"vt.待人如友,帮助"
beg,[beɡ],"v.请求,乞求"
beggar,[ˈbeɡər],n.乞丐
begin,[bɪˈɡɪn],"v.开始,着手"
behalf,[bɪˈhæf],"n.利益,代表"
behave,[bɪˈheɪv],"v.表现,行为, 举止"
behavior,[bɪ'hevjɚ],"n.举止,行为,反应"
behavioral,[bɪ'hevjərəl],a.行为的
behaviorist,[bɪ'hevjərɪst],"n.行为主义者, 行为科学家"
behind,[bɪˈhaɪnd],"prep.在…后,落后于.ad.在后面"
being,[ˈbiːɪŋ],"n.存在, 生命"
belie,[bɪˈlaɪ],v.掩饰
belief,[bɪˈliːf],"n.信念,信仰,相信"
believable,[bɪˈliːvəbl],a.可信的
believe,[bɪˈliːv],"v.相信,认为"
bell,[bel],"n.铃, 钟"
belle,[bel],n.美女
bellow,[ˈbeloʊ],"v.怒吼, 咆哮"
belong,[bɪˈlɔːŋ],vi.属于
beloved,[bɪ'lʌvd],a.心爱的.n.所爱的人
below,[bɪˈloʊ],prep.在…下.ad.在下面
belt,[belt],"vi.疾驰.vt.重击.n.带子, 地带."
belter,,"n.非常好, 出色的例子"
beluga,[bəˈluːɡə],"n.(欧洲)白色大鳇鱼, 白鲸"
bemoan,[bɪˈmoʊn],vt.哀叹
bench,[bentʃ],"n.长椅子,替补队员 .vt.给…以席位"
bend,[bend],"v.弯曲,屈服.n.弯曲(处)"
beneath,[bɪˈniːθ],"prep.在…下,(地位等)低于.ad.在下方"
beneficial,[ˌbenɪˈfɪʃl],"a.有利的, 有益的"
beneficiary,[ˌbenɪˈfɪʃieri],"n.受惠者, 受益人"
benefit,[ˈbenɪfɪt],"n.利益,救济金.v.有益于,得益"
beng,,n.大麻
benign,[bɪˈnaɪn],"a.仁慈的, 温和的, 良性的"
bent,[bent],"a.决心的,弯曲的.n.倾向, 爱好"
bequest,[bɪˈkwest],"n.遗产, 遗赠"
berg,[bɜːrɡ],n.冰山
bergere,,n.围手椅
Beringia,,n.白令海和楚可奇海海域
Berlin,[bɝ'lɪn],n.柏林[德国]
beside,[bɪˈsaɪd],"prep.在…旁边,和…相比"
besides,[bɪˈsaɪdz],"prep.除 ... 之外.ad.此外, 也"
besiege,[bɪˈsiːdʒ],"vt.围困,围攻"
best-known,,a.最有名的
bestow,[bɪˈstoʊ],"vt.给予,利用"
bet,[bet],"n.赌, 打赌 .v.赌, 赌钱"
betray,[bɪˈtreɪ],"vt.出卖, 背叛"
between,[bɪˈtwiːn],prep.在…之间
bewilder,[bɪˈwɪldər],"vt.使迷惑,使难住"
beyond,[bɪˈjɑːnd],"prep.远于,越出.ad.在更远处"
bias,[ˈbaɪəs],n.偏见vt.使存偏见
bicycle,[ˈbaɪsɪkl],"n.脚踏车, 自行车"
bid,[bɪd],"vt.出价, 投标.n.投标,企图"
bifocal,[ˌbaɪˈfoʊkl],a.双焦点的
big,[bɪɡ],a.大的
bike,[baɪk],"n.脚踏车, 自行车"
bilingual,[ˌbaɪˈlɪŋɡwəl],"a.能说两种语言的,双语的"
bill,[bɪl],"n.帐单,议案.vt.开帐单"
billfish,"['bɪl,fɪʃ]","n.长嘴鱼,尖嘴鱼"
billion,[ˈbɪljən],"n./a.十亿(的),大量"
bind,[baɪnd],"vt.捆绑(扎),结(粘)合"
binge,[bɪndʒ],"n.狂闹, 狂欢"
biodiversity,[ˌbaɪoʊdaɪˈvɜːrsəti],n.生物多样性
biogeochemical,,a.生物地球化学的
biographer,[baɪˈɑːɡrəfər],n.传记作者
biographical,[ˌbaɪəˈɡræfɪkl],"a.传记的,传记体的"
biography,[baɪˈɑːɡrəfi],n.传记
biological,[ˌbaɪəˈlɑːdʒɪkl],"a.生物(学)的
"
biologically,[ˌbaɪəˈlɑːdʒɪkli],ad.生物学地
biologist,[baɪˈɑːlədʒɪst],n.生物学家
biology,[baɪˈɑːlədʒi],n.(生物)学
biome,[ˈbaɪoʊm],n.(生态)生物群系
biotic,[baɪˈɑːtɪk],"a.有关生命的,生物的 "
bipedal,"[ˌbaɪˈpiːdl,ˌbaɪˈpedl]","a.两足动物的,两足的"
birch,[bɜːrtʃ],"n.桦树, 白桦"
bird,[bɜːrd],n.鸟
birdlike,,"a.敏捷轻快的,似鸟的"
birth,[bɜːrθ],n.出生
birthday,[ˈbɜːrθdeɪ],n.生日
birthright,[ˈbɜːrθraɪt],"n.生来就有的权利, 长子继承权"
bis,[bɪs],"ad.二度, 二回"
bison,[ˈbaɪsn],n.(美洲)野牛
bit,[bɪt],"n.一点儿,少许,小片"
bite,[baɪt],"n./v.咬, 刺痛 "
biter,['baɪtɚ],"n.咬人的动物, 骗子"
bitter,[ˈbɪtər],"a.苦的, 痛苦的,辛酸的"
bitterness,[ˈbɪtərnəs],"n.苦味, 辛酸"
bituminous,[bɪˈtuːmɪnəs],"a.沥青的,含沥青的
"
bizarre,[bɪˈzɑːr],"a.奇异的(指态度,容貌,款式等)"
black,[blæk],"a.黑暗的,黑人的,邪恶的"
blackbird,[ˈblækbɜːrd],n.山鸟类
blacken,[ˈblækən],"v.使变黑, 诽谤"
blackout,[ˈblækaʊt],"n.灯火管制,断电"
blacksmith,[ˈblæksmɪθ],"n.锻工, 铁匠"
bladder,[ˈblædər],"n.膀胱, 气泡"
blade,[bleɪd],"n.刀刃, 刀片"
blame,[bleɪm],n./vt.责备
bland,[blænd],"a.温和的,乏味的.v.变得乏味"
blanket,[ˈblæŋkɪt],vt.覆盖.adj.包含所有的.n.毯子 
blast,[blæst],"n.爆炸,一阵(疾风等).vt.炸,炸掉"
blaze,[bleɪz],"n.火焰.vi.照耀,激发 ,燃烧"
bleak,[bliːk],"a.寒冷的,荒凉的, 黯淡的"
blend,[blend],v.(使)混和.n.混合物
bless,[bles],"vt.祝福, 保佑,有幸具有"
blink,[blɪŋk],"v./n.眨眼, 闪烁,对..视而不见"
blip,[blɪp],"n.(在雷达屏幕显示的)物体光点, 尖音信号"
bliss,[blɪs],"n.福佑, 天赐的福 .v.狂喜"
blister,[ˈblɪstər],n.水泡
block,[blɑːk],"v.堵塞,妨碍n.大楼,街区"
blockage,[ˈblɑːkɪdʒ],"n.封锁, 妨碍"
blood,[blʌd],"n.血.vt.流血,从…抽血"
bloodhound,[ˈblʌdhaʊnd],n.一种大侦探犬
bloodstream,[ˈblʌdstriːm],n.血流
bloom,[bluːm],".v.(使)开花,(使)繁盛"
blossom,[ˈblɑːsəm],n.花.vi.开花
blow,[bloʊ],"v.风吹,吹气于.n.打击"
blower,[ˈbloʊər],"n.吹制工, 送风机"
blowhole,[ˈbloʊhoʊl],"n.喷水孔, 通风孔"
blowhole,[ˈbloʊhoʊl],"n.喷水孔, 通风孔"
blubber,[ˈblʌbər],"n.鲸脂,哭号v.哭号"
blue,[bluː],"n.蓝色.a.蓝色的,忧郁的"
bluebird,[ˈbluːbɜːrd],n.北美产的蓝知更鸟
bluefin,,n.金枪鱼
bluff,[blʌf],"n.断崖,诈骗.a.绝壁的.v.诈骗"
bluish,[ˈbluːɪʃ],a.带蓝色的
bluntly,[ˈblʌntli],"ad.坦率地, 率直地,钝地"
blur,[blɜːr],"v.弄脏.n.污点, 模糊"
board,[bɔːrd],"n.木板,甲板,膳食,董事会"
boast,[boʊst],v./n.自夸
boat,[boʊt],"n.小船,艇"
bode,[boʊd],"v.预示,为…的兆头"
body,[ˈbɑːdi],"n.身体,主体"
bog,[bɑːɡ],n.沼泽
boil,[bɔɪl],"n.沸点.v.煮沸, 激动"
bold,[boʊld],"a.大胆的, 无礼的"
bold,[boʊld],"a.大胆的 ,粗体的"
bolster,[ˈboʊlstər],"n.垫子.vt.支持,支撑"
bomb,[bɑːm],n.炸弹.vt.投弹于
bombard,[bɑːmˈbɑːrd],"vt.炮轰,轰击"
bombardment,[bɑːmˈbɑːrdmənt],"n.炮击, 轰击"
bonanza,[bəˈnænzə],"n.走运,发财"
bond,[bɑːnd],"n.结合,协定.v.使结合,粘合
"
bone,[boʊn],"n.骨,骨骼"
bongo,[ˈbɑːŋɡoʊ],"n.非洲产大羚羊, 一种用手指敲的小鼓"
bonito,,n.鲣
bony,[ˈboʊni],"a.多骨的, 瘦骨嶙峋的"
book,[bʊk],"n.书,帐簿vt.预订,预约"
booklet,[ˈbʊklət],n.小册子
boom,[buːm],"n.繁荣.v.发隆隆声,兴隆"
boomer,[ˈbuːmər],n.生育高峰中出生的人
boon,[buːn],"n.恩惠, 福利"
boost,[buːst],"vt.提高,推动,宣扬.n.增涨,激励"
boot,[buːt],n.<美> (长统)靴
border,[ˈbɔːrdər],"n.边界.vt.与...接壤,接近 "
bore,[bɔːr],vt.使厌烦.n.令人讨厌的人(或事)
boredom,[ˈbɔːrdəm],"n.厌倦,令人厌烦的事物"
boron,[ˈbɔːrɑːn],n.[化]硼
borrow,[ˈbɔːroʊ],"v.借, 借入"
boss,[bɔːs],"n.老板, 上司 
vt.指挥"
Boston,['bɔstən],n.波士顿
botanical,[bəˈtænɪkl],a.植物(学)的
botanist,[ˈbɑːtənɪst],n.植物学家
botany,[ˈbɑːtəni],n.植物学
both,[boʊθ],"a./pron.两者,双方的"
bother,[ˈbɑːðər],"v./n.烦扰, 打扰.v.使恼怒"
bottle,[ˈbɑːtl],n.瓶子.vt.用瓶装
bottom,[ˈbɑːtəm],"n.底部,底端 "
boulder,[ˈboʊldər],n.大石头
boule,[buːl],"n.人造宝石,议会"
boulevard,[ˈbʊləvɑːrd],n.<美>林荫大道
bounce,[baʊns],"v.(使)反跳, 弹起 .n.(球)跳起, 弹回"
bound,[baʊnd],"n.范围,界限.a.一定的 "
boundary,[ˈbaʊndri],"n.边界,分界线,范围"
bovine,[ˈboʊvaɪn],"a.(似)牛的,迟钝的"
bow,[baʊ],"n.弓,弓形,蝴蝶结.v.鞠躬,弯腰"
bowel,[ˈbaʊəl],n.肠 
bowl,[boʊl],n.碗
bowl-shaped,,a.碗状的
box,[bɑːks],"n.盒子,箱.vt.装箱(盒).vi.拳击"
boxlike,,a.象箱子一样的
boy,[bɔɪ],n.男孩
brace,[breɪs],"n.支柱.v.支住,撑牢,激励"
brain,[breɪn],"n.脑,头脑,智力"
branch,[bræntʃ],"n.树枝,分部,分支,支流"
brand,[brænd],"n.商标, 牌子, 烙印 "
brant,,n.黑雁
brass,[bræs],n.黄铜(制品)
brave,[breɪv],a.勇敢的.v.勇敢地面对
bravely,[ˈbreɪvli],ad.勇敢地
bravery,[ˈbreɪvəri],n.勇敢
brawl,[brɔːl],"vi.争吵, 怒骂"
brea,,n.布雷亚(美国加州地名)
breach,[briːtʃ],"n.破坏, 裂口.vt.打破, 突破"
bread,[bred],"n.面包, 生计"
breadbasket,[ˈbredbæskɪt],"n.<俚>胃, 腹"
breadfruit,[ˈbredfruːt],n.面包果树
breadth,[bredθ],"n.宽度, (布的)幅宽, (船)幅"
break,[breɪk],"n.休息,破裂处.v.打破,弄坏,中断"
breakage,[ˈbreɪkɪdʒ],"n.破坏, 破损, 破损量"
breakdown,[ˈbreɪkdaʊn],"n.崩溃, 衰弱"
breakfast,[ˈbrekfəst],"n.早餐 
vi.进早餐"
breakthrough,[ˈbreɪkθruː],n.突破
